acl 2.3.1-2
hwdata 0.356-1
hwloc 2.7.0-1
hyphen 2.8.8-3
iana-etc 20220205-1
icu 70.1-1
ijs 0.35-3
imagemagick 7.1.0.25-1
imlib2 1.8.0-1
intltool 0.51.0-6
iproute2 5.16.0-1
iptables 1:1.8.7-1
iputils 20211215-1
ipython 8.0.1-1
iso-codes 4.9.0-1
iwd 1.24-2
jack2 1.9.20-4
jansson 2.14-1
jbig2dec 0.19-1
jemalloc 1:5.2.1-6
js78 78.15.0-3
json-c 0.15-3
json-glib 1.6.6-1
jupyter 4.6.3-3
jupyter-nbclassic 0.3.5-1
jupyter-nbclient 0.5.11-1
jupyter-nbconvert 6.4.2-1
jupyter-nbformat 5.1.3-3
jupyter-notebook 6.4.8-1
jupyter-server 1.13.5-1
jupyter-widgetsnbextension 1:3.5.2-1
jupyter_console 6.4.0-3
jupyterlab 3.2.9-1
jupyterlab_pygments 0.1.2-4
kbd 2.4.0-2
keepass 2.50-1
keyutils 1.6.3-1
kmod 29-2
krb5 1.19.2-2
ktoblzcheck 1.53-3
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.13.1-1
ldns 1.8.1-1
less 1:590-1
lf 24-1
libabw 0.1.3-2
libarchive 3.6.0-1
libass 0.15.2-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4
libb2 0.98.1-2
libbluray 1.3.0-1
libbsd 0.11.5-1
libcaca 0.99.beta20-1
libcanberra 0.30+2+gc0620e4-5
libcap 2.63-2
libcap-ng 0.8.2-7
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-3
libcloudproviders 0.3.1-2
libcolord 1.4.6-1
libconfig 1.7.3-1
libcroco 0.6.13-2
libcups 1:2.4.1-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbi 0.9.0-5
libde265 1.0.8-2
libdrm 2.4.110-1
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libe-book 0.1.3-10
libedit 20210910_3.1-1
libelf 0.186-5
libepoxy 1.5.9-1
libepubgen 0.1.1-2
libetonyek 0.1.10-1
libev 4.33-1
libevdev 1.12.0-1
libevent 2.1.12-1
libexif 0.6.24-1
libexttextcat 3.4.6-1
libffi 3.4.2-4
libfontenc 1.1.4-3
libfreehand 0.1.2-3
libgcrypt 1.9.4-1
libgdiplus 5.6.1-3
libgit2 1:1.3.0-1
libglvnd 1.4.0-1
libgpg-error 1.44-1
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-1
libheif 1.12.0-2
libibus 1.5.25-5
libical 3.0.14-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6
libinput 1.19.3-2
libixion 0.17.0-1
libjpeg-turbo 2.1.2-1
libksba 1.6.0-1
liblangtag 0.6.3-2
libldap 2.6.1-1
liblqr 0.4.2-3
libluv 1.43.0_0-1
libmaa 1.4.7-1
libmanette 0.2.6-2
libmd 1.0.4-1
libmfx 21.3.5-2
libmm-glib 1.18.6-1
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.2.1-2
libmspub 0.1.4-11
